"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"listopad";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"jaja kurze świeże - za 1szt";"cena";"2018";0,65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"pomarańcze - za 1kg";"cena";"2018";6,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"cebula - za 1 kg";"cena";"2018";2,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"czekolada mleczna - za 100g";"cena";"2018";4,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"jaja kurze świeże - za 1szt";"cena";"2018";0,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"pomarańcze - za 1kg";"cena";"2018";5,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2018";3,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"czekolada mleczna - za 100g";"cena";"2018";4,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";3,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,07;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,38;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,90;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2018";0,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2018";5,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2018";2,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2018";3,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,61;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2018";0,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"pomarańcze - za 1kg";"cena";"2018";5,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2018";2,24;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2018";3,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,86;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,11;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,52;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,93;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2018";0,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2018";5,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2018";2,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2018";3,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,85;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,89;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"jaja kurze świeże - za 1szt";"cena";"2018";0,63;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2018";5,52;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2018";2,18;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"czekolada mleczna - za 100g";"cena";"2018";3,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,58;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,23;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,51;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,93;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"jaja kurze świeże - za 1szt";"cena";"2018";0,61;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"pomarańcze - za 1kg";"cena";"2018";5,80;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2018";2,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"czekolada mleczna - za 100g";"cena";"2018";3,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
